"ID","Domain","Axis","Unit name","Unit type","Canonical source","Repo evidence","Gap classification","Severity","Build priority","Depends on","Proposed artifact path","Proposed action","Notes"
"RB-RT-01","harness-runtime","RT","B-INTERSTEP-NONLINEAR","feature arc (registered-forward)",".harness/arc-ledger.yaml (registered); spine ledger §B-INTERSTEP","B-INTERSTEP (#651/#671) shipped sequential-write scope only; concurrent sibling writes not recorded","partial/unwired","MEDIUM","P2","B-INTERSTEP (closed); #648 buffered-branch drain (ADR-F2)","harness-runtime/src + harness-cp/src (driver buffered-branch path)","BUILD (decompose-at-open): inter-step output recording for the 4 non-linear strategies via the buffered-branch drain","Concurrent shared-holder writes violate ADR-F2 single-threaded-write; needs the buffered-branch drain path."
"RB-RT-02","harness-runtime","RT","B-EFFECT-FENCE-HITL-ROUTE","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-EFFECT-FENCE","B-EFFECT-FENCE (#655) ships an interim fail-closed FAILED raise instead of an operator-resolvable pause","partial","MEDIUM","P2","B-EFFECT-FENCE (closed); B-ENGINE-OUTPUT-REPLAY (closed)","harness-runtime/src (effect fence → §22.1 pause)","BUILD: turn interim fail-closed raise into a genuine §22.1 operator-resolvable PAUSE + suppress-and-continue","Composes with B-ENGINE-OUTPUT-REPLAY. Durable behavior; interim is honest fail-close, not broken."
"RB-RT-03","harness-runtime","RT","B-EFFECT-FENCE-DURABLE-AUTO","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-EFFECT-FENCE","Effect fence is opt-in flag (RuntimeConfig.effect_fencing); not auto-on under durable engines","partial","LOW","P3","B-EFFECT-FENCE (closed)","harness-runtime/src (bootstrap engine_class → auto-enable fence)","BUILD: auto-activate the fence under a durable engine_class, removing the opt-in flag","Durable engines re-execute steps on resume, so the fence should default-on there."
"RB-RT-04","harness-runtime","RT","B-EDIT-CARRIER-DURABLE-ASYNC-RESUME","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-EDIT-CARRIER","B-EDIT-CARRIER (#659) landed wrap-time SYNC path only; durable-async resume dispatches resumed step UNCHANGED (v2.24 AC#7/FM-2)","partial/unwired","MEDIUM","P2","B-EDIT-CARRIER (closed)","harness-runtime/src (durable-async resume EDIT carrier)","BUILD: functional operator EDIT on the durable-async resume path (pre-existing silent-drop for all response types)","Pre-existing silent-drop the wrap-time EDIT does not cover."
"RB-RT-05","harness-runtime","RT","B-L2-ROUTING-SPAN-LAYER-ATTRIBUTION","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-L2-FALLBACK-COMPOSITION","Under wrapper-routing the inner gen_ai span reports the DECLARATIVE echo, not the real EMBEDDING/L3 layer that picked the model","partial (observability fidelity)","LOW","P3","B-L2-FALLBACK-COMPOSITION (#675, closed)","harness-runtime/src (StepDispatcher Protocol trace channel or per-dispatch trace carrier)","BUILD: thread the wrapper's RoutingDecisionTrace to the inner gen_ai span so routing.layer is accurate","Observability fidelity only; production-dormant behind the 2nd-provider gate. Needs Protocol widening or trace carrier."
"RB-CP-01","harness-cp + harness-runtime","CP/RT","B-ENGINE-OUTPUT-REPLAY-WAL-SEGMENT","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-ENGINE-OUTPUT-REPLAY","B-ENGINE-OUTPUT-REPLAY (#665) landed for LINEAR EVENT_SOURCED_REPLAY only","partial","MEDIUM","P2","B-ENGINE-OUTPUT-REPLAY (closed); E-impl-2 WAL substrate","harness-runtime/src (EngineOutputStore share) + harness-cp/src","BUILD: extend output-carrying replay to WAL_SEGMENT (shares EngineOutputStore) + non-linear resume-blind strategies","WAL_SEGMENT shares the store; the non-linear strategies fold into the pause-family resumption arcs."
"RB-CP-02","harness-cp + harness-runtime","CP/RT","B-FANOUT-PAUSE-EVALUATOR-OPTIMIZER","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-FANOUT-PAUSE","B-FANOUT-PAUSE (#661) built ORCHESTRATOR_WORKERS only; EO pause path fails honestly (not-yet-materialized)","partial/unwired","MEDIUM","P2","B-FANOUT-PAUSE (closed)","harness-cp/src (EO capture wiring) + harness-runtime e2e","BUILD: apply fan-out-barrier pause-resume shape to EVALUATOR_OPTIMIZER","FanOutResumeState carrier is strategy-agnostic; each needs its own capture wiring + aggregate-merge + tests."
"RB-CP-03","harness-cp + harness-runtime","CP/RT","B-FANOUT-PAUSE-PARALLELIZATION","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-FANOUT-PAUSE","B-FANOUT-PAUSE built ORCHESTRATOR_WORKERS only; PARALLELIZATION pause path fails honestly","partial/unwired","MEDIUM","P2","B-FANOUT-PAUSE (closed)","harness-cp/src + harness-runtime e2e","BUILD: apply fan-out-barrier pause-resume shape to PARALLELIZATION siblings","Sibling fan-out-barrier topology's pause-resume."
"RB-CP-04","harness-cp + harness-runtime","CP/RT","B-HANDOFF-PAUSE","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-FANOUT-PAUSE","DECENTRALIZED_HANDOFF pause path fails honestly (not-yet-materialized)","partial/unwired","MEDIUM","P2","B-FANOUT-PAUSE (closed)","harness-cp/src (stage-cursor resume) + harness-runtime e2e","BUILD (design-fork-first): single-owner sequential handoff-pause (a stage cursor, not a branch set)","A distinct, non-fan-out resume shape vs the fan-out barrier."
"RB-CP-05","harness-cp + harness-runtime","CP/RT","B-HIERARCHICAL-PAUSE","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-FANOUT-PAUSE","HIERARCHICAL_DELEGATION pause path fails honestly; resume crosses child-bootstrap recursion boundary","partial/unwired","MEDIUM","P2","B-FANOUT-PAUSE (closed)","harness-cp/src (ChildWorkflowRunner seam resume) + harness-runtime e2e","BUILD (design-fork-first): resume across the child-bootstrap recursion boundary","Reuses ORCHESTRATOR_WORKERS for execution but resume crosses the child-bootstrap boundary."
"RB-CP-06","harness-cp + harness-runtime","CP/RT","B-HITL-PLACEMENT-PER-STEP-OVERRIDE-FOLD","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-HITL-PLACEMENT","B-HITL-PLACEMENT-PER-STEP-PRODUCER (#657) closed the workflow-level tuple; per-step StepOverride.hitl_placement fold is silent (C-CP-06 §6.2)","unwired","MEDIUM","P2","B-HITL-PLACEMENT-PER-STEP-PRODUCER (closed)","design-substrate CP spec amendment + harness-cp/src + harness-runtime","BUILD (design-fork-first per X-AL-3): fold per-step StepOverride.hitl_placement override with the workflow-level tuple","Per-step override fold semantics are unspecified — needs a spec amendment first."
"RB-CP-07","harness-cp + harness-runtime","CP/RT","B-HITL-WRAP-FAIL-CLASS-SURFACING","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-EDIT-CARRIER","Registered RT-FAIL code surfaces via the CP driver's generic step-failure path (CP can't import runtime exception types)","partial","LOW","P3","B-EDIT-CARRIER (closed)","harness-cp/src + harness-runtime (precise fail-class surface)","BUILD: give wrap-time HITL RT-FAIL classes a precise surface","Codex [P2] from B-EDIT-CARRIER; same generic surfacing as the pre-existing wrap-time REJECT."
"RB-CP-08","harness-cp + harness-runtime","CP/RT","B-ROUTING-MANIFEST-MODEL-FOLD","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-L2-EMBEDDING-ACTIVATION","B-L2-EMBEDDING-ACTIVATION (#669) uses a conservative-decline interim; per-step model override is not smart-folded with routing_activation","partial","MEDIUM","P2","B-L2-EMBEDDING-ACTIVATION (closed)","harness-cp/src + harness-runtime (StepEffectiveBinding source discriminator)","BUILD: smart-fold a per-step model override with routing_activation","Needs a StepEffectiveBinding source discriminator (named in roadmap_status next-selector)."
"RB-AS-01","harness-as + harness-runtime","AS/RT","B-EFFECT-FENCE-PER-TOOL","feature arc (registered-forward)",".harness/arc-ledger.yaml; spine ledger §B-EFFECT-FENCE","B-EFFECT-FENCE fences by opt-in flag; no per-tool idempotency classification on ToolContract","fully-missing (new AS surface)","MEDIUM","P2","B-EFFECT-FENCE (closed)","design-substrate AS spec amendment (ToolContract field) + harness-as/src + harness-runtime","BUILD (design-fork-first per X-AL-3): a ToolContract idempotency classification so only declared-non-idempotent tools are fenced","Cross-axis AS surface; the precise control vs the blunt opt-in flag."
"RB-OD-01","harness-od + harness-runtime","OD/RT","B-TAIL-CONDITIONAL-SAMPLING","feature arc (GATED)",".harness/arc-ledger.yaml (status: gated); spine ledger §B7 / Bucket-B B7","B7 (#632) delivered the root-span half; composite_sampler.py over-samples non-root/tail spans (always-samples all files/memory/validator/subagent spans, not only mutation/permanent/root)","partial (gated)","LOW","P3 (blocked)","R-420 / R-421 (in-process telemetry collector / deployment gates)","harness-od/src (tail-keep span processor) + harness-runtime","BUILD when gate clears: non-root & end-of-trace conditional sampling per §9.2 (a tail-keep span processor)","Conservative today (over-captures, never under). Blocked on R-420/R-421 telemetry collector substrate."
